# Kepler-10 (KIC 11904151) long-cadence light curve
# source_uri: mast:Kepler/url/missions/kepler/lightcurves/0119/011904151/kplr011904151-2009166043257_llc.fits
# source_url: https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:Kepler/url/missions/kepler/lightcurves/0119/011904151/kplr011904151-2009166043257_llc.fits
# retrieved_utc: 2026-07-19T12:44:04Z
# fits_sha256: a47542bd31fa92111f280a29885f6fbe860f0956012b442f780ca6d2cc3a19c6
# fits_bytes: 192960
# time: BKJD (BJD - 2454833); flux: PDCSAP_FLUX (e-/s), SAP_QUALITY==0 rows only
time_bkjd,flux_e_per_s
148.350061,544133.438
148.370496,544219.312
148.390930,544163.000
148.411364,544187.688
148.431798,544216.875
148.452232,544158.312
148.472666,544144.688
148.493100,544108.375
148.513534,544164.438
148.533968,544144.812
148.554403,544126.250
148.574837,544143.875
148.595271,544161.875
148.615705,544149.062
148.656573,544144.812
148.677007,544148.938
148.697442,544146.812
148.717876,544154.312
148.758744,544169.562
148.779178,544202.125
148.799612,544199.125
148.820046,544119.375
148.840480,544149.188
148.860914,544219.562
148.881348,544164.250
148.901783,544162.312
148.922217,544139.125
148.942651,544178.125
148.963085,544184.000
148.983519,544179.625
149.003953,544167.750
149.024387,544182.250
149.044821,544131.188
149.065256,544164.312
149.106124,544107.562
149.126558,544096.062
149.146992,544104.938
149.167426,544068.625
149.187860,544045.750
149.208294,544144.938
149.228728,544129.812
149.249163,544124.688
149.269597,544116.312
149.290031,544148.875
149.330899,544173.812
149.351333,544146.250
149.371767,544159.188
149.412636,544168.062
149.453504,544147.625
149.473938,544151.750
149.494372,544156.688
149.514806,544158.250
149.535240,544118.750
149.555674,544138.250
149.576108,544160.875
149.596542,544160.125
149.616976,544141.062
149.637411,544162.875
149.657845,544130.250
149.678279,544159.000
149.698713,544179.188
149.719147,544148.562
149.739581,544103.250
149.760015,544175.812
149.780449,544190.500
149.821318,544180.375
149.862186,544138.000
149.882620,544158.062
149.903054,544153.250
149.923488,544128.000
149.943922,544215.875
149.964356,544102.062
150.005225,544069.250
150.025659,544075.750
150.046093,544145.500
150.066527,544145.875
150.086961,544165.438
150.107395,544139.750
150.127829,544164.812
150.148264,544182.188
150.168698,544147.562
150.189132,544189.250
150.209566,544158.125
150.230000,544173.000
150.250434,544206.188
150.270868,544183.312
150.291302,544203.688
150.311736,544172.375
150.332170,544161.000
150.352604,544146.750
150.373039,544246.812
150.393473,544198.125
150.413907,544171.625
150.454775,544226.562
150.475209,544198.000
150.495643,544241.500
150.516077,544163.750
150.556946,544160.750
150.577380,544181.312
150.597814,544196.625
150.618248,544187.188
150.638682,544220.062
150.659116,544212.562
150.679550,544176.875
150.699984,544230.562
150.720418,544240.000
150.740853,544194.500
150.761287,544178.000
150.781721,544191.312
150.822589,544096.125
150.843023,544066.312
150.863457,544132.250
150.883891,544150.188
150.904325,544146.625
150.945194,544226.938
150.965628,544266.875
150.986062,544182.000
151.006496,544118.250
151.026930,544188.875
151.047364,544199.625
151.067798,544222.188
151.088232,544201.438
151.108666,544199.125
151.129100,544171.438
151.149535,544221.938
151.169969,544197.625
151.190403,544182.188
151.210837,544178.938
151.231271,544178.562
151.251705,544185.062
151.272139,544209.625
151.292573,544226.250
151.313007,544191.875
151.333441,544155.875
151.353876,544175.875
151.374310,544210.062
151.394744,544186.312
151.415178,544237.062
151.435612,544249.188
151.456046,544241.250
151.476480,544195.250
151.496914,544245.938
151.517348,544236.562
151.537782,544237.000
151.558217,544283.812
151.578651,544238.875
151.599085,544207.062
151.619519,544188.250
151.639953,544136.062
151.680821,544081.062
151.701255,544085.188
151.721689,544221.562
151.742124,544187.938
151.803426,544204.312
151.823860,544147.188
151.844294,544188.125
151.864728,544187.500
151.885162,544213.062
151.905596,544199.062
151.926030,544226.938
151.946464,544190.125
151.966899,544199.188
151.987333,544221.875
152.007767,544157.688
152.028201,544188.750
152.048635,544171.250
152.069069,544190.688
152.089503,544162.938
152.109937,544234.938
152.130371,544202.625
152.150805,544114.625
152.171240,544187.062
